id,title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres
766507,Prey,7.762,5821,02/08/2022,0,100,65000000,154.579,"Thriller, Action, Science Fiction"
927,Gremlins,7.09,5819,08/06/1984,153083102,106,11000000,28.718,"Fantasy, Horror, Comedy"
166428,How to Train Your Dragon: The Hidden World,7.761,5817,03/01/2019,524580592,104,129000000,61.84,"Animation, Family, Adventure"
380,Rain Man,7.756,5814,12/12/1988,354825435,134,25000000,21.798,Drama
12230,One Hundred and One Dalmatians,7.162,5812,25/01/1961,85000000,82,4000000,38.721,"Adventure, Animation, Comedy, Family"
9325,The Jungle Book,7.276,5809,18/10/1967,205843612,78,4000000,55.91,"Family, Animation, Adventure"
1576,Resident Evil,6.61,5803,15/03/2002,102984862,100,33000000,22.662,"Horror, Action, Science Fiction"
59859,Kick-Ass 2,6.396,5791,17/07/2013,60700000,103,28000000,24.476,"Action, Adventure, Crime"
782,Gattaca,7.548,5786,07/09/1997,12532777,106,36000000,25.598,"Thriller, Science Fiction, Mystery, Romance"
82654,Warm Bodies,6.44,5761,31/01/2013,116980662,97,35000000,21.946,"Horror, Comedy, Romance"
9737,Bad Boys,6.785,5758,07/04/1995,141407024,119,19000000,28.92,"Action, Comedy, Crime, Thriller"
449176,"Love, Simon",8.041,5748,16/02/2018,66316289,110,17000000,19.843,"Comedy, Drama, Romance"
250546,Annabelle,5.8,5742,02/10/2014,257047661,99,6500000,44.87,Horror
390043,The Hitman's Bodyguard,6.891,5732,16/08/2017,176586701,118,30000000,28.214,"Action, Comedy"
335988,Transformers: The Last Knight,6.059,5727,16/06/2017,605425157,154,217000000,44.968,"Action, Adventure, Science Fiction"
440021,Happy Death Day,6.638,5721,12/10/2017,125479266,97,4800000,17.251,"Horror, Mystery, Comedy"
644,A.I. Artificial Intelligence,7.041,5719,29/06/2001,235926552,146,100000000,26.617,"Drama, Science Fiction, Adventure"
565,The Ring,6.651,5706,18/10/2002,249348933,115,48000000,25.195,"Horror, Mystery"
1995,Lara Croft: Tomb Raider,5.879,5705,11/06/2001,274703340,100,115000000,32.121,"Adventure, Fantasy, Action, Thriller"
331482,Little Women,7.895,5700,25/12/2019,216601214,135,40000000,25.76,"Drama, Romance"
420809,Maleficent: Mistress of Evil,7.323,5698,16/10/2019,491730089,119,185000000,40.547,"Family, Fantasy, Adventure, Action"
277,Underworld,6.807,5696,19/09/2003,95708457,122,22000000,31.889,"Fantasy, Action, Thriller"
520763,A Quiet Place Part II,7.511,5691,21/05/2021,297400000,97,61000000,46.269,"Science Fiction, Thriller, Horror"
406990,What Happened to Monday,7.17,5687,18/08/2017,27975429,123,20000000,39.927,"Science Fiction, Thriller, Drama, Mystery, Action"
508439,Onward,7.726,5687,29/02/2020,141940042,103,200000000,25.372,"Family, Animation, Adventure, Comedy, Fantasy"
5255,The Polar Express,6.707,5682,10/11/2004,310634054,100,165000000,45.535,"Animation, Adventure, Family, Fantasy"
49017,Dracula Untold,6.401,5680,01/10/2014,217124280,92,70000000,21.951,"Horror, Action, Fantasy"
88,Dirty Dancing,7.345,5679,21/08/1987,214577242,100,6000000,29.153,"Drama, Music, Romance"
1368,First Blood,7.5,5675,22/10/1982,125212904,93,15000000,41.721,"Action, Adventure, Thriller, War"
47933,Independence Day: Resurgence,5.283,5674,22/06/2016,389681935,120,165000000,31.224,"Action, Adventure, Science Fiction"
238713,Spy,6.832,5666,06/05/2015,235666219,120,65000000,25.334,"Action, Comedy, Crime"
11544,Lilo & Stitch,7.516,5665,21/06/2002,273144151,85,80000000,44.02,"Animation, Family"
1018,Mulholland Drive,7.827,5664,06/06/2001,20271129,147,15000000,29.859,"Thriller, Drama, Mystery"
39538,Contagion,6.636,5663,08/09/2011,137551594,106,60000000,22.541,"Drama, Thriller, Science Fiction"
80321,Madagascar 3: Europe's Most Wanted,6.606,5658,06/06/2012,746921274,93,145000000,38.66,"Animation, Family, Comedy, Adventure"
166424,Fantastic Four,4.414,5648,05/08/2015,167977596,100,120000000,35.837,"Action, Adventure, Science Fiction"
424783,Bumblebee,6.73,5639,15/12/2018,467989645,113,135000000,30.511,"Action, Adventure, Science Fiction"
20504,The Book of Eli,6.781,5636,14/01/2010,157107755,118,80000000,36.812,"Action, Thriller, Science Fiction"
302946,The Accountant,7.062,5635,13/10/2016,155160045,128,44000000,22.664,"Crime, Thriller, Drama"
788,Mrs. Doubtfire,7.186,5633,24/11/1993,441286195,125,25000000,23.964,"Comedy, Drama, Family"
242,The Godfather Part III,7.422,5627,25/12/1990,136766062,162,54000000,73.018,"Crime, Drama, Thriller"
8467,Dumb and Dumber,6.606,5615,16/12/1994,247275374,107,16000000,34.591,Comedy
2300,Space Jam,6.835,5608,15/11/1996,250200000,88,80000000,27.025,"Family, Animation, Comedy, Science Fiction"
1572,Die Hard: With a Vengeance,7.253,5604,19/05/1995,366101666,128,90000000,42.511,"Action, Thriller"
242224,The Babadook,6.52,5604,22/05/2014,10312540,94,2000000,20.417,"Drama, Horror"
1637,Speed,7.12,5603,09/06/1994,350448145,116,30000000,34.369,"Action, Adventure, Crime"
401981,Red Sparrow,6.533,5596,28/02/2018,151572634,140,69000000,24.57,"Thriller, Mystery"
7446,Tropic Thunder,6.635,5591,09/08/2008,195702811,107,92000000,23.108,"Action, Comedy, Adventure, War"
13053,Bolt,6.5,5582,21/11/2008,309979994,98,150000000,40.236,"Animation, Family, Adventure, Comedy"
254320,The Lobster,7.034,5580,15/10/2015,15656193,118,4000000,19.716,"Comedy, Drama, Romance"
38365,Grown Ups,6.359,5577,24/06/2010,271430189,102,80000000,46.895,Comedy
87502,Flight,6.818,5572,02/11/2012,161772375,138,31000000,33.128,Drama
509,Notting Hill,7.259,5558,21/05/1999,363889678,124,42000000,30.288,"Romance, Comedy"
345,Eyes Wide Shut,7.474,5552,16/07/1999,162100000,159,65000000,51.808,"Drama, Thriller, Mystery"
38575,The Karate Kid,6.527,5545,10/06/2010,359126022,140,40000000,49.169,"Action, Adventure, Drama, Family"
333484,The Magnificent Seven,6.418,5545,14/09/2016,162360636,132,90000000,33.557,"Adventure, Action, Western"
497582,Enola Holmes,7.3,5541,23/09/2020,0,123,21000000,22.028,"Adventure, Mystery, Comedy, Crime"
57201,The Lone Ranger,6.089,5528,03/07/2013,260502115,149,215000000,25.875,"Action, Adventure, Western"
545609,Extraction,7.356,5516,24/04/2020,0,116,65000000,46.071,"Action, Thriller"
1597,Meet the Parents,6.672,5512,06/10/2000,330444045,108,55000000,21.88,"Comedy, Romance"
31011,Mr. Nobody,7.832,5512,06/11/2009,2331721,141,47000000,21.974,"Science Fiction, Drama, Romance, Fantasy"
306819,The Danish Girl,7.605,5503,27/11/2015,64191523,119,15000000,15.865,Drama
370172,No Time to Die,7.402,5502,29/09/2021,774153007,163,250000000,51.295,"Action, Thriller, Romance"
181533,Night at the Museum: Secret of the Tomb,6.2,5495,17/12/2014,363204635,98,127000000,38.749,"Adventure, Comedy, Fantasy, Family"
373571,Godzilla: King of the Monsters,6.674,5479,29/05/2019,386600138,132,170000000,53.983,"Science Fiction, Action"
299687,The 5th Wave,5.946,5479,14/01/2016,109906372,112,38000000,26.968,"Science Fiction, Adventure, Action"
1250,Ghost Rider,5.547,5477,15/01/2007,228738393,114,110000000,39.494,"Thriller, Action, Fantasy"
505642,Black Panther: Wakanda Forever,7.193,5475,09/11/2022,859102154,162,250000000,131.897,"Action, Adventure, Science Fiction"
302699,Central Intelligence,6.41,5473,16/06/2016,216972543,107,50000000,25.567,"Action, Comedy, Crime, Mystery"
436270,Black Adam,7.014,5467,19/10/2022,393252111,124,200000000,104.759,"Action, Adventure, Science Fiction"
13885,Sweeney Todd: The Demon Barber of Fleet Street,7.2,5466,20/12/2007,152000000,116,50000000,31.416,"Drama, Horror"
36647,Blade,6.762,5466,21/08/1998,131183530,121,45000000,37.081,"Horror, Action"
